Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030511,RB11,RKOSN500B-CN000250,SN-500B,790804W,F01,PP01,"1,399.390",KG,8/3/2019,8/5/2019,0002
1030512,RB11,RKOSN500B-CN000250,SN-500B,790805W,F01,PP01,"1,399.390",KG,8/3/2019,8/5/2019,0002
1030513,RB11,RKOSN500B-CN000250,SN-500B,790806W,F01,PP01,"1,399.390",KG,8/5/2019,8/7/2019,0002
1030514,RB11,RKOSN500B-CN000250,SN-500B,790807W,F01,PP01,"1,399.390",KG,8/5/2019,8/7/2019,0002
1030515,RB11,RKOSN500B-CN000250,SN-500B,790808W,F01,PP01,"1,399.390",KG,8/6/2019,8/8/2019,0002
1030516,RB11,RKOSN500B-CN000250,SN-500B,790809W,F01,PP01,"1,399.390",KG,8/7/2019,8/9/2019,0002
1030517,RB11,RKOSN500B-CN000250,SN-500B,790810W,F01,PP01,"1,399.390",KG,8/7/2019,8/9/2019,0002
1030523,RB11,ESAR336HV-BLK01100,ESTAR R336HV,CF9004,F01,PP01,"3,300.000",KG,8/1/2019,8/2/2019,0001
1030524,RB11,UGP030400-DR000200,XRF-0304,CH9006,F03,PP01,"2,100.000",KG,8/5/2019,8/7/2019,0001
1030525,RB11,UGMMC8500-DR000230,COSMONATE MC-85,CH9012,F03,PP01,"4,820.790",KG,8/7/2019,8/9/2019,0002
1030526,RB11,UGPHR1449-DR000200,THAMOL HR-1449,CH9012,F03,PP01,"10,206.000",KG,8/5/2019,8/7/2019,0002
1030527,RB11,UGMAX662T-CN000018,HIPRENE AX-662,CH9004,F03,PP01,"1,300.000",KG,8/5/2019,8/7/2019,0001
1030528,RB11,RKUP55000-DR000100,U-RAMIN P-5500,CG9033,F02,PP01,400.000,KG,8/3/2019,8/3/2019,0001
1030529,RB11,RKA890700-BLK01000,ACRYLAX-8907,CG9012,F02,PP01,"3,000.000",KG,8/5/2019,8/5/2019,0001
1030530,RB11,ERABW5600-DR000100,STRUCT BOND BW-5600,CH9024,F02,PP01,"4,000.000",KG,8/5/2019,8/5/2019,0002
1030531,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CH9022,F03,PP01,"10,158.350",KG,8/6/2019,8/8/2019,0003
1030532,RB11,RKA5042A0-DR000200,ACRYLAX-5042A,CG9001,F02,PP01,"1,089.600",KG,7/31/2019,7/31/2019,0001
1030533,RB11,UGPHL4560-DR000200,THAMOL HL-456,CH9017,F03,PP01,"5,228.281",KG,8/6/2019,8/8/2019,0002
1030534,RB11,ENGSE310B-BLK20000,ALMATEX SE310B,CH9017,F02,PP01,"10,314.220",KG,8/4/2019,8/6/2019,0001
1030535,RB11,RKA3345P0-BLK06000,ACRYLAX-3345P,CH9033,F02,PP01,"5,736.910",KG,8/4/2019,8/6/2019,0001
1030536,RB11,RKVV221G0-DR000100,VINYLAX-221G,CH9016,F02,PP01,"8,771.100",KG,8/5/2019,8/7/2019,0001
1030537,RB11,ENGSE310B-BLK20000,ALMATEX SE310B,CH9018,F02,PP01,"10,314.220",KG,8/5/2019,8/7/2019,0001
1030538,RB11,RKA506000-DR000200,ACRYLAX-506,CH9074,F02,PP01,"11,573.000",KG,8/5/2019,8/7/2019,0001
1030539,RB11,RKA1312S1-DR000200,ACRYLAX-1312S-10,CH9004,F02,PP01,"1,700.000",KG,8/6/2019,8/8/2019,0001
